mmsi,name,imo,callsign,ship_type,length_m,width_m,mobile_class
219002066,ARVAK,,OUEF,Military,16.0,7.0,Class A
219002468,MIDIMA,,XPD2071,Sailing,10.0,4.0,Class B
219002585,FN 4 LAERKE,,XP2732,Fishing,15.0,5.0,Class A
219002732,DANPILOT VENUS,,XPD4060,Pilot,15.0,5.0,Class A
219002973,TUNOE,,OU8027,Passenger,14.0,4.0,Class A
219003066,FN224 LAERKE VINTHER,,OU 8738,Fishing,11.0,4.0,Class A
219003138,H84 GULDBORG,,OXEG,Fishing,15.0,4.0,Class A
219004128,HANNE,,OU7604,Fishing,14.0,5.0,Class A
219004194,LCP 4,,OUFQ,Military,12.0,4.0,Class A
219004203,H77 FRIDA,,XP4462,Fishing,15.0,5.0,Class A
219004279,OBERON,,OYXJ,Diving,17.0,6.0,Class A
219004365,KAPEREN,,XP4716,Pleasure,16.0,5.0,Class B
219005323,ALVILDE,,OWVV,Pleasure,16.0,5.0,Class A
219005334,MOMBA,,XPD5195,Sailing,11.0,4.0,Class B
219005453,SEADOG,,OU 9103,Passenger,12.0,4.0,Class A
219005659,KAREN-PETER RS314,,OU9401,Fishing,10.0,4.0,Class A
219005732,HG20 MALENE MEYER,,OU6442,Fishing,10.0,4.0,Class A
219005787,GARM,,XP3136,Towing,13.0,5.0,Class A
219005941,R223 BUSTER,,5QFC,Fishing,12.0,4.0,Class A
219005954,BELLA-EMIL,,XP4678,Fishing,15.0,4.0,Class A
219005956,STEPHANIE DALSOE,,XP3556,Fishing,14.0,4.0,Class A
219006113,A300 MARIE SKOV,,,Fishing,14.0,4.0,Class A
219006301,FN 308 HELLE LOTTE,,XP3323,Fishing,15.0,5.0,Class A
219006971,FN 220 IDA MARIE,,XP3129,Fishing,15.0,6.0,Class A
219007034,SILJE-SOFIE S123,,XP3776,Fishing,14.0,4.0,Class A
219007132,SIF,,XPD5908,Pleasure,6.0,2.0,Class B
219007293,KROEGSEA,,XPD5994,Sailing,10.0,4.0,Class B
219007457,LRB 22,,XPD6067,SAR,,,Class A
219007572,LEA HOEJ,,OZRQ2,Dredging,27.0,7.0,Class A
219007596,ISABELLA  KA 49,,OXRH,Fishing,14.0,4.0,Class A
219009135,SG64 LAMA II,,OU6447,Fishing,12.0,4.0,Class A
219009203,FLICKA III - KALOVIG,,XPD7214,Sailing,11.0,4.0,Class B
219009229,FN236 JULIE-EMILIE,,XP4668,Fishing,16.0,5.0,Class A
219009415,R254 KATRINE-KIM,,XP2898,Fishing,10.0,4.0,Class B
219009763,BETHEL,,OXUC,Pleasure,24.0,6.0,Class B
219010207,S10 CHRISTINA,,OU8232,Fishing,10.0,4.0,Class A
219010597,NIRVANA,,XPD8033,Sailing,12.0,3.0,Class B
219010801,SU-PER,,XPD8156,Sailing,11.0,4.0,Class B
219010873,LN SEAMAN,,OXSH2,Pilot,16.0,5.0,Class A
219011074,MILJO 103,,OUEE,Anti-pollution,10.0,4.0,Class A
219011325,ROSA-GRY,,XP3668,Fishing,12.0,4.0,Class A
219011909,SWING,,XPD8871,Sailing,11.0,4.0,Class B
219012459,HM 67 LOTTI,,OU3102,Fishing,15.0,5.0,Class B
219013005,FN 294 TABITA,,OX2145,Fishing,9.0,3.0,Class B
219013178,O91 ALBATROS,,OZCF,Fishing,17.0,6.0,Class A
219013474,APHRODITE,,OU3970,Sailing,,,Class B
219013485,TOVE KAJGAARD,9568342,OZCA,Fishing,22.0,7.0,Class A
219013692,LA VITA,,XPE2029,Sailing,8.0,3.0,Class B
219013885,DORIS VENDELBO,,OWGG,Fishing,15.0,6.0,Class A
219013933,JOY,,XPD3500,Sailing,11.0,3.0,Class B
219014875,SVITZER TRYM,9548354,OWNB2,Tug,33.0,13.0,Class A
219015338,STRANDER_   ND17,75,,Fishing,15.0,4.0,Class A
219015617,FN68 FRYDENSTRAND,,OU8179,Fishing,9.0,4.0,Class A
219016142,SCANDOLA,,XPE3702,Pleasure,9.0,3.0,Class B
219016781,SERVUS 4 (PILOTBOAT),,OUHW2,Pilot,13.0,4.0,Class A
219017733,SKAWLINK4,,OURT2,Towing,24.0,8.0,Class A
219018343,DORTHE 4,,XP3195,Fishing,8.0,2.0,Class B
219018446,MHG 042,,OVNW,SAR,5.0,2.0,Class B
219018452,MHG048,,OVNE,SAR,5.0,2.0,Class B
219018518,NANOQ,,XPE5387,Pleasure,15.0,4.0,Class B
219018795,BACARDI,,XPE5585,Pleasure,12.0,4.0,Class B
219019025,MHG 008,,,,,,Class B
219019033,MHG 015,,OVGQ,SAR,5.0,2.0,Class B
